name	document_code	anchor	occurrence
moron	merveilles17_imp_pie-guignard1668	name609	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name610	LA PRINCESSE
euriale	merveilles17_imp_pie-guignard1668	name611	PRince
aristomene	merveilles17_imp_pie-guignard1668	name612	vn Prince
euriale	merveilles17_imp_pie-guignard1668	name613	EVRIALE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name614	LA PRINCESSE
euriale	merveilles17_imp_pie-guignard1668	name615	EVRIALE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name616	LA PRINCESSE
euriale	merveilles17_imp_pie-guignard1668	name617	EVRIALE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name618	LA PRINCESSE
euriale	merveilles17_imp_pie-guignard1668	name619	EVRIALE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name620	LA PRINCESSE
aristomene	merveilles17_imp_pie-guignard1668	name621	le Prince de Messene
euriale	merveilles17_imp_pie-guignard1668	name622	EVRIALE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name623	LA PRINCESSE
moron	merveilles17_imp_pie-guignard1668	name624	Moron
moron	merveilles17_imp_pie-guignard1668	name625	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name626	la Princesse
euriale	merveilles17_imp_pie-guignard1668	name627	au Prince
princesse_d_elide	merveilles17_imp_pie-guignard1668	name628	la Princesse
euriale	merveilles17_imp_pie-guignard1668	name629	au Prince
princesse_d_elide	merveilles17_imp_pie-guignard1668	name630	LA PRINCESSE
moron	merveilles17_imp_pie-guignard1668	name631	MORON
euriale	merveilles17_imp_pie-guignard1668	name632	Prince
princesse_d_elide	merveilles17_imp_pie-guignard1668	name633	LA PRINCESSE
euriale	merveilles17_imp_pie-guignard1668	name634	EVRIALE
aglante	merveilles17_imp_pie-guignard1668	name635	Aglante
moron	merveilles17_imp_pie-guignard1668	name636	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name637	LA PRINCESSE
moron	merveilles17_imp_pie-guignard1668	name638	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name639	LA PRINCESSE
moron	merveilles17_imp_pie-guignard1668	name640	Moron
moron	merveilles17_imp_pie-guignard1668	name641	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name642	LA PRINCESSE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name643	LA PRINCESSE
aglante	merveilles17_imp_pie-guignard1668	name644	AGLANTE
moron	merveilles17_imp_pie-guignard1668	name645	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name646	LA PRINCESSE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name647	PRincesse
euriale	merveilles17_imp_pie-guignard1668	name648	Le Prince d’Ithaque
iphitas	merveilles17_imp_pie-guignard1668	name649	Prince mon Pere
aglante	merveilles17_imp_pie-guignard1668	name650	AGLANTE
euriale	merveilles17_imp_pie-guignard1668	name651	Le Prince d’Ithaque
princesse_d_elide	merveilles17_imp_pie-guignard1668	name652	LA PRINCESSE
aglante	merveilles17_imp_pie-guignard1668	name653	AGLANTE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name654	LA PRINCESSE
aglante	merveilles17_imp_pie-guignard1668	name655	Aglante
aglante	merveilles17_imp_pie-guignard1668	name656	AGLANTE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name657	LA PRINCESSE
aristomene	merveilles17_imp_pie-guignard1668	name658	ARISTOMENE
moron	merveilles17_imp_pie-guignard1668	name659	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name660	LA PRINCESSE
aglante	merveilles17_imp_pie-guignard1668	name661	AGLANTE
aristomene	merveilles17_imp_pie-guignard1668	name662	ARISTOMENE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name663	LA PRINCESSE
aristomene	merveilles17_imp_pie-guignard1668	name664	ARISTOMENE
euriale	merveilles17_imp_pie-guignard1668	name665	Le prince d’Ithaque
princesse_d_elide	merveilles17_imp_pie-guignard1668	name666	LA PRINCESSE
aristomene	merveilles17_imp_pie-guignard1668	name667	ARISTOMENE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name668	LA PRINCESSE
aristomene	merveilles17_imp_pie-guignard1668	name669	Prince
aristomene	merveilles17_imp_pie-guignard1668	name670	ARISTOMENE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name671	LA PRINCESSE
aristomene	merveilles17_imp_pie-guignard1668	name672	Prince
princesse_d_elide	merveilles17_imp_pie-guignard1668	name673	LA PRINCESSE
aglante	merveilles17_imp_pie-guignard1668	name674	AGLANTE
moron	merveilles17_imp_pie-guignard1668	name675	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name676	LA PRINCESSE
princesse_d_elide	merveilles17_imp_pie-guignard1668	name677	Princesse
aglante	merveilles17_imp_pie-guignard1668	name678	AGLANTE
moron	merveilles17_imp_pie-guignard1668	name679	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name680	LA PRINCESSE
moron	merveilles17_imp_pie-guignard1668	name681	MORON
euriale	merveilles17_imp_pie-guignard1668	name682	Prince
princesse_d_elide	merveilles17_imp_pie-guignard1668	name683	LA PRINCESSE
moron	merveilles17_imp_pie-guignard1668	name684	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name685	LA PRINCESSE
moron	merveilles17_imp_pie-guignard1668	name686	MORON
princesse_d_elide	merveilles17_imp_pie-guignard1668	name687	la Princesse
princesse_d_elide	merveilles17_imp_pie-guignard1668	name688	LA PRINCESSE
climene	merveilles17_imp_pie-guignard1668	name689	CLIMENE
philis	merveilles17_imp_pie-guignard1668	name690	PHILIS
climene	merveilles17_imp_pie-guignard1668	name691	CLIMENE
philis	merveilles17_imp_pie-guignard1668	name692	Philis
philis	merveilles17_imp_pie-guignard1668	name693	PHILIS
climene	merveilles17_imp_pie-guignard1668	name694	CLIMENE
philis	merveilles17_imp_pie-guignard1668	name695	PHILIS
climene	merveilles17_imp_pie-guignard1668	name696	CLIMENE
philis	merveilles17_imp_pie-guignard1668	name697	PHILIS
climene	merveilles17_imp_pie-guignard1668	name698	CLIMENE
philis	merveilles17_imp_pie-guignard1668	name699	PHILIS
philis	merveilles17_imp_pie-guignard1668	name700	PHILIS
cloris	merveilles17_imp_pie-guignard1668	name701	Cloris
climene	merveilles17_imp_pie-guignard1668	name702	CLIMENE
philis	merveilles17_imp_pie-guignard1668	name703	PHILIS
climene	merveilles17_imp_pie-guignard1668	name704	CLIMENE
philis	merveilles17_imp_pie-guignard1668	name705	Philis
philis	merveilles17_imp_pie-guignard1668	name706	PHILIS
climene	merveilles17_imp_pie-guignard1668	name707	CLIMENE
philis	merveilles17_imp_pie-guignard1668	name708	Toutes deux ensemble
climene	merveilles17_imp_pie-guignard1668	name709	Toutes deux ensemble
princesse_d_elide	merveilles17_imp_pie-guignard1668	name710	La Princesse
aristomene	merveilles17_imp_pie-guignard1668	name711	Prince de Messene
euriale	merveilles17_imp_pie-guignard1668	name712	le Prince d’Ithaque
princesse_d_elide	merveilles17_imp_pie-guignard1668	name713	la Princesse
euriale	merveilles17_imp_pie-guignard1668	name714	le Prince d’Ithaque
aristomene	merveilles17_imp_pie-guignard1668	name715	le Prince de Messene
princesse_d_elide	merveilles17_imp_pie-guignard1668	name716	La Princesse
iphitas	merveilles17_imp_pie-guignard1668	name717	le Roy
euriale	merveilles17_imp_pie-guignard1668	name718	le Prince d’Ithaque
euriale	merveilles17_imp_pie-guignard1668	name719	le Prince d’Ithaque
aglante	merveilles17_imp_pie-guignard1668	name720	la Princesse
princesse_d_elide	merveilles17_imp_pie-guignard1668	name721	La Princesse
iphitas	merveilles17_imp_pie-guignard1668	name722	le Roy
aristomene	merveilles17_imp_pie-guignard1668	name723	les deux Princes de Messene
theocle	merveilles17_imp_pie-guignard1668	name724	de Pyle
iphitas	merveilles17_imp_pie-guignard1668	name725	LE PRINCE
euriale	merveilles17_imp_pie-guignard1668	name726	EVRIALE
moron	merveilles17_imp_pie-guignard1668	name727	MORON
aglante	merveilles17_imp_pie-guignard1668	name728	AGLANTE
cinthie	merveilles17_imp_pie-guignard1668	name729	CINTHIE
moron	merveilles17_imp_pie-guignard1668	name730	MORON
iphitas	merveilles17_imp_pie-guignard1668	name731	LE PRINCE
euriale	merveilles17_imp_pie-guignard1668	name732	EVRIALE
