lieu_code	document_code	anchor	occurrence	desc
versailles_jardins_petit_parc	merveilles17_p_gazette16640528	placeName6	petit Parc de Versailles	
versailles_jardins	merveilles17_p_gazette16640528	placeName7	vne tres grande Sale	
versailles_jardins	merveilles17_p_gazette16640528	placeName8	Théâtre	
versailles_jardins	merveilles17_p_gazette16640528	placeName9	au bout de la mesme Allée en Ovale	
versailles_jardins	merveilles17_p_gazette16640528	placeName10	au milieu d’vne Plaine	
versailles_chateau	merveilles17_p_loret16640202	placeName1	Oratoire	
versailles_chateau	merveilles17_p_loret16640202	placeName2	Salon	
versailles_chateau	merveilles17_p_loret16640202	placeName3	grande Sale	
versailles	merveilles17_p_loret16640202	placeName4	Versaille	
versailles_chateau	merveilles17_p_loret16640202	placeName5	Oratoire	
savoie	merveilles17_p_loret16640202	placeName6	Cour de Savoye	
paris_palais_royal	merveilles17_p_loret16640216	placeName2	Palais Royal	
paris_palais_royal_theatre	merveilles17_p_loret16640216	placeName3	Téatre	
versailles_chateau	merveilles17_p_loret16640510	placeName2	Versaille	
versailles	merveilles17_p_loret16640510	placeName3	Versaille	
versailles_chateau	merveilles17_p_loret16640510	placeName4	Château	
versailles_chateau	merveilles17_p_loret16640510	placeName5	l’entrée	
versailles_cour	merveilles17_p_loret16640510	placeName6	basse Court	
versailles	merveilles17_p_loret16640510	placeName7	Versaille	
versailles	merveilles17_p_loret16640517	placeName2	Versaille	
fontainebleau	merveilles17_p_loret16640802	placeName1	Fontainebleau	
fontainebleau_chateau	merveilles17_p_loret16640802	placeName2	Palais de Fontainebleau	
fontainebleau	merveilles17_p_loret16640802	placeName3	Fontainebleau	
paris	merveilles17_p_loret16640802	placeName4	Paris	
paris	merveilles17_p_loret16640809	placeName2	Paris	
paris	merveilles17_p_loret16640809	placeName3	Paris	
