clé	entrée	occurrence	fichier
versailles_jardins_bassin_apollon	Bassin des Cygnes/Lac d'Alcine	le grand Rondeau	merveilles17_i_pie-ballard2
versailles_jardins_bassin_apollon	Bassin des Cygnes/Lac d'Alcine	ce Rondeau	merveilles17_i_pie-ballard2
versailles	Versailles	Versailles	merveilles17_i_pie-ballard2
versailles	Versailles	Versailles	merveilles17_i_pie-ballard2
versailles_jardins_menagerie	Ménagerie	Mesnagerie	merveilles17_i_pie-ballard2
fontainebleau	Fontainebleau		merveilles17_i_pie-ballard2
versailles	Versailles	Versailles	merveilles17_i_pie1673
paris	Paris	Paris	merveilles17_i_pie1673
versailles_chateau	Château de Versailles	Chasteau	merveilles17_i_pie1673
versailles_jardins_bassin_apollon	Bassin des Cygnes/Lac d'Alcine	le Lac	merveilles17_i_pie1673
france	France	France	merveilles17_i_pie1673
versailles_jardins	Jardins de Versailles	le Theatre	merveilles17_i_pie1673
versailles	Versailles	Versailles	merveilles17_i_pie1673
paris	Paris	Paris	merveilles17_i_pie1673
versailles_chateau	Château de Versailles	Sallon	merveilles17_i_pie1673
fontainebleau	Fontainebleau	Fontainebleau	merveilles17_i_pie1673
paris	Paris	PARIS	merveilles17_i_pieguignard1668_001
versailles	Versailles	Versailles	merveilles17_i_pieguignard1668_001
paris	Paris	Paris	merveilles17_i_pieguignard1668_001
versailles_chateau	Château de Versailles	Palais de sa Majesté	merveilles17_i_pieguignard1668_001
paris	Paris	Paris	merveilles17_i_pieguignard1668_001
grece	Grèce	Grece	merveilles17_i_pieguignard1668_001
france	France	France	merveilles17_i_pieguignard1668_001
france	France	France	merveilles17_i_pieguignard1668_001
espagne	Espagne	l’Espagne	merveilles17_i_pieguignard1668_001
versailles_chateau	Château de Versailles	Chasteau	merveilles17_i_pieguignard1668_001
versailles_jardins_bassin_apollon	Bassin des Cygnes/Lac d'Alcine	Lac	merveilles17_i_pieguignard1668_001
france	France	la France	merveilles17_i_pieguignard1668_001
versailles_jardins_bassin_apollon	Bassin des Cygnes/Lac d'Alcine	le Lac	merveilles17_i_pieguignard1668_001
versailles	Versailles	Versailles	merveilles17_i_pieguignard1668_001
allemagne	Allemagne	Allemagne	merveilles17_i_pieguignard1668_001
versailles_chateau	Château de Versailles	maison de Versailles	merveilles17_i_pieguignard1668_001
paris	Paris	Paris	merveilles17_i_pieguignard1668_001
versailles_jardins	Jardins de Versailles	son Sallon	merveilles17_i_pieguignard1668_001
fontainebleau	Fontainebleau	Fontaine-bleau	merveilles17_i_pieguignard1668_001
versailles	Versailles	Versailles	merveilles17_ms_pie-bizincourt
france	France	France	merveilles17_ms_pie-bizincourt
grece	Grèce	Grece	merveilles17_ms_pie-bizincourt
france	France	France	merveilles17_ms_pie-bizincourt
france	France	France	merveilles17_ms_pie-bizincourt
france	France	Espagne	merveilles17_ms_pie-bizincourt
thrace	Thrace	Thrace	merveilles17_ms_pie-bizincourt
elide	Elide	Elide	merveilles17_ms_pie-bizincourt
versailles	Versailles	Versailles	merveilles17_ms_piephilidor_001
paris	Paris	Paris	merveilles17_ms_piephilidor_001
versailles_chateau	Château de Versailles	Palais de sa Majesté	merveilles17_ms_piephilidor_001
paris	Paris	Paris	merveilles17_ms_piephilidor_001
grece	Grèce	Grece	merveilles17_ms_piephilidor_001
france	France	France	merveilles17_ms_piephilidor_001
france	France	France	merveilles17_ms_piephilidor_001
espagne	Espagne	Espagne	merveilles17_ms_piephilidor_001
versailles_chateau	Château de Versailles	Chateau	merveilles17_ms_piephilidor_001
